GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0033026	0	7	0	10	10	13	3	11	4	10	0	0	5	0	0	4	0	0	0	3	0	27	6	0	0	0	0
GO:0000288	0	184	0	296	132	346	51	2	1	271	0	0	3	0	0	136	0	0	0	1	0	241	2	0	0	0	208
GO:0000289	0	0	0	0	0	0	0	158	127	0	0	0	186	0	0	0	0	0	0	53	0	0	38	0	0	0	0
GO:0000286	1	0	1	0	0	0	0	0	0	0	2	27	0	1	288	0	128	0	133	0	2	0	0	1	0	105	0
GO:0000287	68	0	24	0	0	0	0	0	0	0	99	0	0	69	0	0	0	2	0	0	108	0	0	248	1	0	0
GO:0000280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	164	0	0
GO:1901176	0	27	0	0	0	0	0	0	27	0	0	0	23	0	0	11	0	0	0	0	0	0	0	0	0	0	27
GO:0042398	0	0	0	247	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042399	0	1	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	140	0	0	0	1	0
GO:0071109	0	0	0	4	84	283	0	0	0	220	0	0	0	0	0	93	0	0	0	0	0	1161	0	1	0	0	1
GO:0071108	0	106	0	0	555	899	27	0	0	687	0	0	159	0	0	298	0	0	0	0	0	7	0	0	0	0	1
GO:0033383	0	408	0	0	5	4	115	109	76	4	0	0	438	0	0	1	0	0	0	0	0	0	26	0	1	0	126
GO:0033382	0	4	0	0	0	0	0	383	288	0	0	0	2	0	0	0	0	0	0	0	0	0	181	0	0	0	498
GO:0033380	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	67	0	0	134	0	0	0	0	0	0	0
GO:0033387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	1	0	0	0	0	0	0	0
GO:0003676	56	0	88	0	0	0	0	0	0	0	194	17	0	38	181	0	0	0	0	0	0	0	0	1	0	0	0
GO:0003677	190	0	0	0	0	0	0	0	0	0	1	66	0	133	1315	0	0	120	98	0	0	0	0	2	0	56	0
GO:0003678	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	964	323	0	69	0	0	143	0	199	0
GO:0034178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	249	0	0	570	0	1	0
GO:0033388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	350	0	0
GO:0035794	0	0	0	55	0	64	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6
GO:0035792	0	3	0	87	0	108	15	45	0	7	0	0	1	0	0	0	0	0	0	17	0	5	0	0	0	0	0
GO:0035790	0	0	0	0	0	0	0	67	26	0	0	0	0	0	0	27	0	0	0	24	0	0	0	0	0	0	0
GO:0097441	0	0	0	0	15	0	0	0	29	47	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
GO:0006511	3	0	8	0	0	0	0	0	0	0	0	13	0	0	17	0	0	3	0	0	30	0	0	51	3	0	0
